fecha,pais,producto,spread_pct,spread_pct_lag_1,precio_base_lag_1,tendencia_30_dias_num,mes,trimestre,spread_pct_real,spread_pct_predicho_lstm,error_absoluto,direccion_real,direccion_predicha,acierto_direccion,nivel_volatilidad_real,nivel_volatilidad_pred,alerta_cobertura,modelo,mae_global,rmse_global,da_global_pct,anio,mes_num
2022-10-15,Argentina,Leche,0.1106499238165291,0.177926255877258,363.69,1,10,4,0.1106499238165291,0.16785567,0.057205741271170785,Baja,Baja,1,Baja (<12%),Media (12-18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,10
2022-10-15,Nueva Zelanda,Maíz,0.2132731448483408,0.1655059890962633,251.29,-1,10,4,0.2132731448483408,0.17213923,0.041133917458051505,Sube,Sube,1,Alta (>18%),Media (12-18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,10
2022-10-15,India,Arroz,0.1724990204057028,0.2419808096407503,394.99,-1,10,4,0.1724990204057028,0.165099,0.007400025435381152,Baja,Baja,1,Media (12-18%),Media (12-18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,10
2022-11-15,Kenia,Soja,0.2147940599607734,0.2069655570521453,519.7,-1,11,4,0.2147940599607734,0.15993555,0.054858511059215465,Sube,Baja,0,Alta (>18%),Media (12-18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,11
2022-11-15,México,Maíz,0.0914924550057652,0.2249340063909601,215.93,-1,11,4,0.0914924550057652,0.16826577,0.07677331984031177,Baja,Baja,1,Baja (<12%),Media (12-18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,11
2022-11-15,China,Soja,0.2001845365872028,0.151766568468306,498.99,1,11,4,0.2001845365872028,0.1745142,0.025670332323515677,Sube,Sube,1,Alta (>18%),Media (12-18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,11
2022-11-15,Australia,Soja,0.150631034744925,0.1598157214742283,588.24,0,11,4,0.150631034744925,0.1766126,0.025981565939240947,Baja,Sube,0,Media (12-18%),Media (12-18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,11
2022-11-15,China,Carne_porcina,0.11021946969508,0.2527302739248723,2841.29,-1,11,4,0.11021946969508,0.1655432,0.05532372889043026,Baja,Baja,1,Baja (<12%),Media (12-18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,11
2022-11-15,Alemania,Soja,0.1424060815702678,0.2106777436118752,556.11,0,11,4,0.1424060815702678,0.16815126,0.02574517785203445,Baja,Baja,1,Media (12-18%),Media (12-18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,11
2022-11-15,Kenia,Carne_porcina,0.1090256920323764,0.2419497396667579,2590.91,1,11,4,0.1090256920323764,0.18062301,0.07159731776853455,Baja,Baja,1,Baja (<12%),Alta (>18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,11
2022-11-15,Nueva Zelanda,Maíz,0.1620530800277222,0.2132731448483408,252.54,0,11,4,0.1620530800277222,0.18977603,0.027722953135348477,Baja,Baja,1,Media (12-18%),Alta (>18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,11
2022-11-15,Francia,Maíz,0.0616476482048427,0.137023381714659,214.27,0,11,4,0.061647648204842705,0.19081576,0.1291681134805287,Baja,Sube,0,Baja (<12%),Alta (>18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,11
2022-11-15,Alemania,Carne_porcina,0.2045196113709968,0.1928900265525607,2617.45,0,11,4,0.2045196113709968,0.17865326,0.02586635626597819,Sube,Baja,0,Alta (>18%),Media (12-18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,11
2022-11-15,Brasil,Maíz,0.1297109826589594,0.1660445975691454,208.98,1,11,4,0.1297109826589594,0.17416388,0.044452895305060386,Baja,Sube,0,Media (12-18%),Media (12-18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,11
2022-11-15,Brasil,Trigo,0.170394469296462,0.1941230728686255,379.45,-1,11,4,0.170394469296462,0.17656487,0.006170402968400074,Baja,Baja,1,Media (12-18%),Media (12-18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,11
2022-12-15,China,Soja,0.1628737972611489,0.2001845365872028,531.06,0,12,4,0.1628737972611489,0.17762314,0.014749340570539032,Baja,Baja,1,Media (12-18%),Media (12-18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,12
2022-12-15,China,Carne_porcina,0.1460697357493219,0.11021946969508,2806.31,-1,12,4,0.1460697357493219,0.17326628,0.027196540967864086,Sube,Sube,1,Media (12-18%),Media (12-18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,12
2022-12-15,Alemania,Carne_porcina,0.1786790922881742,0.2045196113709968,2779.0,1,12,4,0.1786790922881742,0.17130578,0.007373316645779171,Baja,Baja,1,Media (12-18%),Media (12-18%),Normal,LSTM ventana=3,0.04414,0.05234,50.0,2022,12
