fecha,pais,producto,precio_usd_ton,volumen_operado_ton,tendencia_30_dias,mercado_principal,precio_min_mes,precio_max_mes,anio,mes,tendencia_30_dias_num,flag_precio_fuera_rango,spread_precio,spread_pct
2021-01-01,Argentina,Carne_bovina,4299.14,127922,subiendo,UE,3844.74,4517.42,2021,1,1,0,672.6800000000003,0.15646850300292622
2021-01-01,Argentina,Arroz,330.04,73231,subiendo,Sudeste Asiático,310.1,359.86,2021,1,1,0,49.75999999999999,0.15076960368440184
2021-01-01,Argentina,Maíz,210.36,11666,bajando,Japón,200.56,238.83,2021,1,-1,0,38.27000000000001,0.18192622171515502
2021-01-01,Brasil,Maíz,212.91,195579,subiendo,Oriente Medio,200.25,243.04,2021,1,1,0,42.78999999999999,0.20097693861255927
2021-01-01,Brasil,Leche,356.41,136137,subiendo,UE,348.39,390.03,2021,1,1,0,41.639999999999986,0.11683173872786955
2021-01-01,Brasil,Carne_bovina,3814.98,481129,subiendo,Japón,3608.48,4254.53,2021,1,1,0,646.0499999999997,0.16934557979334092
2021-01-01,Estados Unidos,Soja,441.84,396901,bajando,Japón,411.1,452.49,2021,1,-1,0,41.389999999999986,0.09367644396161504
2021-01-01,Estados Unidos,Leche,364.17,242226,estable,México,349.06,391.9,2021,1,0,0,42.839999999999975,0.11763736716368721
2021-01-01,Estados Unidos,Carne_porcina,2658.92,133397,bajando,Oriente Medio,2262.72,2841.56,2021,1,-1,0,578.8400000000001,0.21769741097889372
2021-01-01,India,Carne_bovina,3804.43,65518,subiendo,Estados Unidos,3439.04,4095.47,2021,1,1,0,656.4299999999998,0.17254358734422762
2021-01-01,India,Soja,484.63,146383,estable,África,467.78,504.24,2021,1,0,0,36.460000000000036,0.07523265171367856
2021-01-01,India,Arroz,377.08,66514,bajando,Oriente Medio,328.96,425.64,2021,1,-1,0,96.68,0.25639121671793785
2021-01-01,China,Arroz,310.6,434520,subiendo,Japón,280.39,331.97,2021,1,1,0,51.58000000000004,0.1660656793303285
2021-01-01,China,Trigo,315.7,354822,subiendo,Estados Unidos,305.32,331.45,2021,1,1,0,26.129999999999995,0.08276845106113398
2021-01-01,China,Carne_porcina,2710.47,109330,estable,Sudeste Asiático,2442.94,2993.59,2021,1,0,0,550.6500000000001,0.20315664810899958
2021-01-01,Francia,Carne_porcina,2110.17,16191,subiendo,Japón,2042.73,2291.84,2021,1,1,0,249.11000000000013,0.1180521000677671
2021-01-01,Francia,Leche,366.84,16826,estable,UE,327.99,399.81,2021,1,0,0,71.82,0.1957801766437684
2021-01-01,Francia,Soja,447.51,9924,subiendo,China,405.27,505.93,2021,1,1,0,100.66000000000003,0.22493352103863606
2021-01-01,Alemania,Soja,478.49,10687,estable,Sudeste Asiático,411.16,532.91,2021,1,0,0,121.74999999999994,0.25444627891909954
2021-01-01,Alemania,Leche,356.05,22092,bajando,Estados Unidos,334.17,409.12,2021,1,-1,0,74.94999999999999,0.21050414267659032
2021-01-01,Alemania,Carne_porcina,2188.97,1755,subiendo,China,2106.17,2438.51,2021,1,1,0,332.34000000000015,0.15182483085652165
2021-01-01,Australia,Maíz,220.02,31250,subiendo,Japón,200.77,247.46,2021,1,1,0,46.69,0.21220798109262792
2021-01-01,Australia,Trigo,303.43,107396,subiendo,China,286.28,348.48,2021,1,1,0,62.200000000000045,0.20498961869294416
2021-01-01,Australia,Soja,477.94,142125,estable,México,453.0,503.7,2021,1,0,0,50.69999999999999,0.10608026112064274
2021-01-01,México,Maíz,203.23,32246,bajando,Sudeste Asiático,186.54,227.59,2021,1,-1,0,41.05000000000001,0.20198789548787094
2021-01-01,México,Carne_bovina,3865.69,19938,estable,China,3443.69,4178.64,2021,1,0,0,734.9500000000003,0.19012129787955068
2021-01-01,México,Soja,485.88,3893,estable,China,413.17,512.1,2021,1,0,0,98.93,0.20360994484234793
2021-01-01,Kenia,Soja,471.63,48441,estable,México,433.38,505.91,2021,1,0,0,72.53000000000003,0.15378580667048328
2021-01-01,Kenia,Arroz,331.5,10782,bajando,Japón,324.47,354.06,2021,1,-1,0,29.589999999999975,0.089260935143288
2021-01-01,Kenia,Trigo,237.85,12156,estable,Oriente Medio,224.73,259.69,2021,1,0,0,34.96000000000001,0.14698339289468157
2021-01-01,Nueva Zelanda,Maíz,161.27,27881,estable,Sudeste Asiático,150.03,180.98,2021,1,0,0,30.94999999999999,0.19191418118682946
2021-01-01,Nueva Zelanda,Carne_porcina,2244.18,42696,estable,Estados Unidos,1944.24,2306.77,2021,1,0,0,362.53,0.1615423005284781
2021-01-01,Nueva Zelanda,Arroz,385.7,26668,bajando,UE,372.48,439.3,2021,1,-1,0,66.82,0.1732434534612393
2021-01-01,España,Carne_porcina,2405.94,43190,subiendo,Sudeste Asiático,2200.95,2745.22,2021,1,1,0,544.27,0.22621927396360672
2021-01-01,España,Maíz,192.24,13300,estable,UE,173.39,202.14,2021,1,0,0,28.75,0.14955264253017062
2021-01-01,España,Trigo,293.58,27219,estable,México,277.25,319.36,2021,1,0,0,42.110000000000014,0.1434362013761156
2021-02-15,Argentina,Carne_porcina,2266.81,73626,bajando,Estados Unidos,2035.31,2525.86,2021,2,-1,0,490.5500000000002,0.21640543318584274
2021-02-15,Argentina,Leche,327.52,91155,bajando,UE,298.06,335.81,2021,2,-1,0,37.75,0.11526013678553983
2021-02-15,Argentina,Trigo,300.19,112204,subiendo,África,292.08,320.78,2021,2,1,0,28.69999999999999,0.09560611612645321
2021-02-15,Brasil,Trigo,270.55,404288,bajando,África,249.08,282.53,2021,2,-1,0,33.44999999999996,0.12363703566808339
2021-02-15,Brasil,Maíz,186.91,432335,subiendo,UE,170.29,198.13,2021,2,1,0,27.840000000000003,0.14894869188379437
2021-02-15,Brasil,Soja,550.82,318949,estable,China,523.48,614.16,2021,2,0,0,90.67999999999995,0.16462728295995052
2021-02-15,Estados Unidos,Trigo,314.19,485376,bajando,África,296.69,325.96,2021,2,-1,0,29.269999999999982,0.09316018969413406
2021-02-15,Estados Unidos,Soja,515.56,403201,estable,África,440.74,571.91,2021,2,0,0,131.16999999999996,0.2544223756691752
2021-02-15,Estados Unidos,Carne_bovina,3820.68,175208,subiendo,Japón,3351.36,4277.08,2021,2,1,0,925.7199999999998,0.24229194803019355
2021-02-15,India,Trigo,259.39,42028,bajando,Japón,247.69,291.76,2021,2,-1,0,44.06999999999999,0.16989860827325648
2021-02-15,India,Soja,453.83,129208,estable,Sudeste Asiático,428.3,509.35,2021,2,0,0,81.05000000000001,0.17859110239517004
2021-02-15,India,Carne_bovina,3992.02,62066,subiendo,UE,3720.62,4174.61,2021,2,1,0,453.9899999999998,0.113724380138376
2021-02-15,China,Soja,543.1,70557,bajando,China,512.71,621.48,2021,2,-1,0,108.76999999999998,0.2002761922297919
2021-02-15,China,Leche,367.44,314705,bajando,África,359.68,379.34,2021,2,-1,0,19.659999999999968,0.05350533420422373
2021-02-15,China,Arroz,393.24,458374,estable,China,334.8,410.56,2021,2,0,0,75.75999999999999,0.19265588444715692
2021-02-15,Francia,Leche,336.57,28198,subiendo,Estados Unidos,322.74,366.23,2021,2,1,0,43.49000000000001,0.12921531925008173
2021-02-15,Francia,Maíz,171.34,22879,bajando,Sudeste Asiático,151.52,181.09,2021,2,-1,0,29.569999999999993,0.17258083343060576
2021-02-15,Francia,Carne_porcina,2514.74,48499,bajando,China,2425.96,2787.38,2021,2,-1,0,361.4200000000001,0.14372062320557993
2021-02-15,Alemania,Arroz,340.84,4797,subiendo,México,316.47,383.48,2021,2,1,0,67.00999999999999,0.19660251144231897
2021-02-15,Alemania,Trigo,338.65,38685,bajando,UE,311.6,355.37,2021,2,-1,0,43.76999999999998,0.1292484866381219
2021-02-15,Alemania,Carne_bovina,3822.36,2728,estable,Estados Unidos,3624.93,4101.19,2021,2,0,0,476.25999999999976,0.12459841563850599
2021-02-15,Australia,Soja,548.01,142606,subiendo,UE,482.91,578.56,2021,2,1,0,95.64999999999992,0.17454061057279963
2021-02-15,Australia,Carne_porcina,2204.81,76885,subiendo,México,1911.36,2402.56,2021,2,1,0,491.20000000000005,0.22278563685759772
2021-02-15,Australia,Leche,336.82,106163,estable,China,320.37,358.34,2021,2,0,0,37.96999999999997,0.11273083546107705
